tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
7227	Drosophila melanogaster	34924	0	live	CycE	Dmel_CG3938, 3938, BG:DS07108.3, CDI7, CG3938, CYCE, Cdi7, CyE-1, Cyc, Cyc E, Cyc-EI, CyclE, CyeE, D-CycE, DmCycE, DmcycE, DmcyclinE, Dmel\CG3938, br37, cdi7, cycE, cyclin E, cyclin-E, cyclinE, cycline, dCycE, dm-cycE, fond, l(2)05206, l(2)35Dd, l(2)br37, l(2)k02514, l(2)k02602, l(2)k05007, l35Dd, CycE	Cyclin E	cyclin E|CG3938-PA|CG3938-PB|CG3938-PC|CG3938-PD|CG3938-PE|CG3938-PF|CycE-PA|CycE-PB|CycE-PC|CycE-PD|CycE-PE|CycE-PF|Cyclin-dependent kinase interactor 7|cyclin|cyclin-E|cyclinE|cycline E|dCyclinE|fondue	2-51 cM	2L	NT_033779.5	15727581	15748150	minus	9
7227	Drosophila melanogaster	40162	0	live	cyc	Dmel_CG8727, BMAL1, Bmal1, CG8727, CYC, CYCLE, Cyc, Cycle, Dmel\CG8727, MOP3, Mop3, TGO_CYC, bHLHe7, bMAL1, dBMAL, dBMAL1, dBma1, dBmal, dCYC, dbmal, dbmal1	cycle	cycle|CG8727-PA|brain and muscle ARNT-like 1|cyc-PA	3-46 cM	3L	NT_037436.4	19813770	19815938	minus	5
7200	Lutzomyia longipalpis	129791829	0	live	LOC129791829	bmal1, cycle	protein cycle	protein cycle|putative aryl hydrocarbon receptor nuclear translocator-like protein 1 wasmannia auropunctata		3	NC_074709.1	8779506	8800810	minus	11
58824	Plodia interpunctella	128682809	0	live	LOC128682809	cycle	protein cycle	protein cycle		Un	NW_026525664.1	222390	285967	minus	16
37344	Athalia rosae	105692556	0	live	LOC105692556	CYCLE, cyc	protein cycle	protein cycle		2	NC_064027.1	29803413	29821426	minus	18
13037	Danaus plexippus	116778126	0	live	LOC116778126	cycle	protein cycle	protein cycle		Z	NC_083559.1	538812	571134	minus	14
133901	Frankliniella occidentalis	113207420	0	live	LOC113207420	FOCC_FOCC013839, cycle	protein cycle	protein cycle		Un	NW_026267378.1	141356	167035	plus	13
29058	Helicoverpa armigera	110379368	0	live	LOC110379368	B5X24_HaOG207301, HaOG207301, cycle	protein cycle	protein cycle		1	NC_087120.1	11090165	11143588	plus	14
7539	Leptinotarsa decemlineata	111504785	0	live	LOC111504785	cycle	protein cycle	protein cycle		Un	NW_019289935.1	264655	296007	minus	11
13686	Solenopsis invicta	105204019	0	live	LOC105204019	SINV_02120, cycle	aryl hydrocarbon receptor nuclear translocator-like protein 1	aryl hydrocarbon receptor nuclear translocator-like protein 1|protein tincar|uncharacterized protein LOC105204019		6	NC_052669.1	18676580	18717567	minus	18
68878	Anopheles cruzii	128277928	0	live	LOC128277928	cyc, cycle	protein cycle	basic helix-loop-helix ARNT-like protein 1|protein cycle		2	NC_069144.1	57690616	57701816	minus	12
7108	Spodoptera frugiperda	118268768	0	live	LOC118268768	cycle	protein cycle	protein cycle		25	NC_064236.1	3307635	3356189	plus	14
